critic,review,date
Matt Stevens,"The visuals are superb, the voice cast is top-notch, and it's fun to revisit old friends, even if their patter feels a little too familiar.","May 18, 2007"
Jeff Vice,"This somewhat lowbrow fantasy spoof simply repeats the same jokes -- once, twice, three times ... or more.","May 18, 2007"
Robert Denerstein,"May 18, 2007",
Lisa Kennedy,"One measure of comedy's pleasure might be how often you recount the best bits after leaving the theater. Shrek is loaded with the sort of set pieces, both hysterical and satisfyingly amusing, you'll irk friends with.","May 18, 2007"
Chris Vognar,"Disposable, clever and never willing to pass up a chance to show how hip it can be, Shrek the Third should make kids titter, adolescents snicker and cash registers ring.","May 18, 2007"
Mary F. Pols,Lacks freshness and has the air of contrivance. It's gone too far into its own self-referential head and the cast of favorite fairy tale characters feels overpopulated.,"May 18, 2007"
Lawrence Toppman,Reasons not to make Shrek the Third: Played-out characters. Bland villain. Novice directors. Slipshod plotting. No compelling story or emotional depth.,"May 18, 2007"
Chad Greene,It's the croaking Frog King Harold who unwittingly provides the metaphor for the state of this fairytale franchise with a drawn-out death scene that's kind of funny at first but then drags on way too long.,"May 18, 2007"
Tyler Hanley,"The ornery ogre brought to life by Mike Myers and DreamWorks in 2001 returns to the screen for his third outing, a fast-paced fantasy rife with witty humor and colorful characters.","May 18, 2007"
Angela Baldassarre,"In ""Shrek the Third,"" our green ogre is not only full of aches and pains, but is insufferable and whiny, which reflects the script's regurgitation of classic stories and repetitive themes. That said, the grumpy fool is surrounded by charming and endearing","May 18, 2007"
Abbie Bernstein,"The characters are all very well-defined by now, adroitly inhabited by the voice actors, with Myers, Everett and the hilariously feline Banderas really going above and beyond the call to add sly little flourishes to their deliveries.","May 18, 2007"
Rebecca Murray,Just because you can make a third film doesn't mean you should.,"May 18, 2007"
Jeffrey M. Anderson,"I've never been a fan of the Shrek movies, and the third entry in the series dutifully continues with everything they do that's annoying and irrational.","May 18, 2007"
Cherryl Dawson and Leigh Ann Palone,"He's Big, He's Green, He's Back, He's Not That Entertaining.","May 18, 2007"
Daniel M. Kimmel,"Shrek the Third"" is like a comfortable old bathrobe or pair of slippers. It's not a fashion statement. It's simply easy to slip into.","May 18, 2007"
John Venable,The bar had been raised so high by the first 2 films that reaching it again proves difficult...and they came close. Check it out!,"May 18, 2007"
Kevin Lally,The energy level flags a bit as the green swamp creature copes with greater responsibilities and impending fatherhood.,"May 18, 2007"
James Sanford,"sometimes slightly heavy-handed messages... are balanced out by stunningly beautiful, meticulously detailed animation and a healthy dose of the insouciant humor 'Shrek' fans have come to expect.","May 18, 2007"
Michael Ferraro,"...if you've only seen one Shrek film, you've seen them all.","May 18, 2007"
A.O. Scott,"Shrek the Third seems at once more energetic and more relaxed [than its predecessors], less desperate to prove its cleverness and therefore to some extent smarter.","May 18, 2007"
Peter Rainer,The imaginative leaps in the animation are dragged down by the deadweight storytelling.,"May 18, 2007"
Steven D. Greydanus,"Continues the deliberate bad taste that is the franchise’s hallmark, with the usual hit-and-miss results… What’s missing is the heart that leavened the first two films.","May 18, 2007"
Kevin Carr,"May 18, 2007",
Dave White,"It starts out funny, front-loaded with all the best bits, before settling into the let's-just-sell-more-toys phase.","May 18, 2007"
David Medsker,"If there is any saving grace to Shrek the Third, it is in its willingness to be mean for the sake of funny.","May 18, 2007"
Ed Gonzalez,"Like Spider-Man 3, Shrek the Third is an experiment in excess.","May 17, 2007"
Jeffrey Chen,"Without a desire to gleefully offend, and its comedy of expectation reversals now predictable, it carries that safe and settled whiff of trademarked franchise.","May 17, 2007"
Josh Bell,It's hard to buy into the movie making fun of anything when it's become such an easy target for mockery itself.,"May 17, 2007"
Brian Orndorf,"Third still clowns around big time, now using the horde of personalities for jokes instead of strip-mining classic fairy tales to nudge-nudge, wink-wink the script into a puddle of poison.","May 17, 2007"
Willie Waffle,"Shrek The Third is a funny visit with familiar characters that will make you laugh, but you don't leave hoping for a fourth.","May 17, 2007"
Erik Childress,"Another great lesson for the children. When the green is guaranteed, you can put as little effort as possible into your project.","May 17, 2007"
Mike Ward,"Shrek does what he does best: pop culture shout-outs, irreverent humor that's too high-brow to infect the kiddies, and still enough slapstick and classic cartoon nonsense to keep those wee ones happy, too.","May 17, 2007"
Steve Rhodes,A direct-to-video quality production being sent to the theaters instead in the hope of getting families to spend ten times as much money (or more) ...,"May 17, 2007"
Sean O'Connell,"Subversive humor, long the calling card of the Shrek films, is present here but in shorter supply","May 17, 2007"
Peter Canavese,No one but patrons with fistfuls of dollars can save this cash grab from itself.,"May 17, 2007"
Bill Clark,"DreamWorks, I beg of you, quit while you're ahead.","May 17, 2007"
Prairie Miller,"Equal parts bells and whistles short attention span three ring circus, and a pizza with the works that has so much piled on that it hasn't got the flavor of anything in particular.","May 17, 2007"
Nell Minow,"By the time Shrek and Arthur are learning that it is okay for them to be themselves, it is starting have that ""very special episode"" feeling that even a kickin' rendition of ""Thank You (Falettinme Be Mice Elf Agin)"" can't make work.","May 17, 2007"
MaryAnn Johanson,"It's... fine. It's fine. But I wanted a lot more than 'fine.' I expected much, much more than 'fine.'","May 17, 2007"
Sara Michelle Fetters,"All excitement and anticipation aside, no two ways about it this sequel is also a frightful disappointment, the fairy tale clearly over no matter how much I and so many others would rather wish otherwise.","May 17, 2007"
Mark Dujsik,Marks a decided drop in the series.,"May 17, 2007"
Nick Rogers,"It jumps the Shrek. No wonder Donkey and Puss in Boots get pushed aside. They have to make way for big bull in this disengenous, lifeless sequel that preaches individual destiny but behaves just like the cashcow it's been groomed to be.","May 17, 2007"
Dustin Putman,"May 17, 2007",
Jack Mathews,"Where the first two films laced their stories with references to and appearances by familiar fairy tale characters, Shrek the Third is almost totally dependent upon them.","May 17, 2007"
Kyle Smith,"[Monty] Python-ish nuttiness is thinly scattered, but it makes the movie worth seeing -- once.","May 17, 2007"
Victoria Alexander,Boring and sluggish even with Shrek often naked.,"May 17, 2007"
Carina Chocano,"Shrek the Third has its moments. But does a kids' movie really need, among other similar touches, a Hooters joke? I, for one, wouldn't want to have to explain it.","May 17, 2007"
Tom Long,"The formula still works. Maybe not as well, but it works.","May 17, 2007"
Terry Lawson,"Shrek the Third manages to [add new characters and plots] without losing sight of the series' primary appeal, the snappy subversiveness with which it upends fairy tales, nursery rhymes and legends.","May 17, 2007"
Moira MacDonald,"Those of us charmed by the original Shrek and its ability to mix fairy-tale sweetness with some hilariously grown-up cleverness will leave disappointed. Much of this feels like a retread, a cash cow without enough ideas to justify its existence.","May 17, 2007"
Chris Hewitt,"Eddie Murphy, Mike Myers, and Antonio Banderas are three of the all-time best matches of actors to animated characters. So it's a shame the writers weren't inspired to give them funnier stuff to do.","May 17, 2007"
Phoebe Flowers,Shrek the Third has a maddeningly plodding pace. It's less a movie than a shiny magnet installed in theaters to take your money.,"May 17, 2007"
Mick LaSalle,"There's never the sense of a movie begging for laughs by throwing in anachronisms. The jokes are organic to the movie, to its sly and slightly caustic worldview, and they don't stop coming, from start to finish.","May 17, 2007"
Peter Travers,"There's no disguising the fact that Shrek the Third has come down with a bad case of sequelitis. You know the symptoms: Lots of razzle-dazzle to distract from the hole at the center of the story. You know, the place where fresh ideas should be.","May 17, 2007"
Roger Moore,"It's fitfully amusing, and only 80 minutes long.","May 17, 2007"
Carrie Rickey,"As far as the adventures of Shrek go, it grieves me to report that the third time is charmless.","May 17, 2007"
Gene Seymour,"If you're into the last two installments, you'll find the same laughs here. Nothing more, nothing less.","May 17, 2007"
Bill Muller,At least this sequel finally establishes how many licks it takes to finish off a popular fairy tale spoof. Three.,"May 17, 2007"
Roger Ebert,"It makes the mistake of thinking slapstick action is funny for its own sake. True, characters zooming and bouncing around are easy to write because no creative invention is required to set them in motion. But so what?","May 17, 2007"
J. R. Jones,"The charm has evaporated. Cinephiles will enjoy some of the in-jokes (watching an awful play, one character cracks, ""This is worse than Love Letters""). But then, if you're a cinephile, why would you bother with this?","May 17, 2007"
Michael Phillips,I doubt even rabid fans of the first two will consider Shrek the Third a worthy addition to the franchise.,"May 17, 2007"
